"manufacturer","mfr.division","carline","displacement","cylinders","transmission","city.fe","hwy.fe","gears","drive.system"
"Mercedes-Benz","Mercedes-Benz","S 65 AMG (coupe)",6,12,"Auto(A7)",13,21,7,"R"
"Mitsubishi Motors Co","Mitsubishi Motors Corporation","LANCER",2,4,"Auto(AV-S6)",27,34,6,"F"
"Mitsubishi Motors Co","Mitsubishi Motors Corporation","LANCER",2,4,"Manual(M5)",24,33,5,"F"
"Mitsubishi Motors Co","Mitsubishi Motors Corporation","LANCER 4WD",2.4,4,"Auto(AV-S6)",23,30,6,"A"
"Mitsubishi Motors Co","Mitsubishi Motors Corporation","MIRAGE",1.2,3,"Auto(AV)",37,43,1,"F"
"Mitsubishi Motors Co","Mitsubishi Motors Corporation","MIRAGE",1.2,3,"Manual(M5)",33,41,5,"F"
"Mitsubishi Motors Co","Mitsubishi Motors Corporation","MIRAGE G4",1.2,3,"Auto(AV)",35,42,1,"F"
"Mitsubishi Motors Co","Mitsubishi Motors Corporation","MIRAGE G4",1.2,3,"Manual(M5)",33,40,5,"F"
"Nissan","NISSAN","VERSA",1.6,4,"Auto(A4)",26,35,4,"F"
"Nissan","NISSAN","VERSA",1.6,4,"Auto(AV)",31,39,1,"F"
"Nissan","NISSAN","VERSA",1.6,4,"Manual(M5)",27,36,5,"F"
"Rolls-Royce","Rolls-Royce Motor Cars Limited","Dawn",6.6,12,"Auto(S8)",12,19,8,"R"
"Rolls-Royce","Rolls-Royce Motor Cars Limited","Phantom Coupe",6.7,12,"Auto(S8)",11,19,8,"R"
"Rolls-Royce","Rolls-Royce Motor Cars Limited","Phantom Drophead Coupe",6.7,12,"Auto(S8)",11,19,8,"R"
"Subaru","Subaru","WRX",2,4,"Auto(AV-S8)",18,24,8,"A"
"Subaru","Subaru","WRX",2,4,"Manual(M6)",20,27,6,"A"
"Subaru","Subaru","WRX",2.5,4,"Manual(M6)",17,23,6,"A"
"Toyota","TOYOTA","PRIUS c",1.5,4,"Auto(AV)",48,43,1,"F"
"Toyota","TOYOTA","YARIS",1.5,4,"Auto(A4)",30,35,4,"F"
"Toyota","TOYOTA","YARIS",1.5,4,"Manual(M5)",30,36,5,"F"
